"method","nonextrapolatingperp","extrapolatingperp"
"Operational Upper Bound",843846.1755043188,NaN
"SOWE",831637.1322184883,929211.069918433
"CNN",867983.9518082727,1.0956519864598655e6
"RNN",1.9710975586917e6,3.0574071480120397e6
