"method","nonextrapolatingmse","extrapolatingmse"
"Operational Upper Bound",0.06213238462805748,NaN
"Distribution Mean Operational Upper Bound",0.06213238168891163,NaN
"Distribution Mean Operational Upper Bound-smoothed",0.06218009141061424,NaN
"Distribution Mean SOWE-smoothed",0.07307470017572257,0.0764291790680164
"Distribution Mean CNN-smoothed",0.07276961695966232,0.09374282677202656
"Distribution Mean GRU-smoothed",0.10509903813829027,0.15104637981579436
"Distribution Mean LSTM-smoothed",0.10286643475534528,0.11155362198736746
