"method","perp","mse_to_distmean"
"SOWE-smoothed",1.2652720569271764e6,0.0680232175890777
"CNN-smoothed",1.3222704773117197e6,0.06882467782095193
"RNN-smoothed",1.4693672333856223e6,0.07728473596794
