"method","nonextrapolating_perp","extrapolating_perp"
"Direct",2.1027921828923914e9,NaN
"Direct-smoothed",870002.9004794431,NaN
"SOWE",862954.2144167002,979919.7324782292
"SOWE-smoothed",855922.8131205883,950381.3147702458
"CNN",903984.6535384846,1.0344950956314305e6
"CNN-smoothed",931775.5353101498,1.0702082652841585e6
"RNN",2.0209071606928725e6,3.4256172855785233e6
"RNN-smoothed",1.9984862719872405e6,3.3941929594438486e6
