"method","perp","mse_to_distmean"
"Direct",4.0885180011922754e6,0.0648013100782032
"Direct-smoothed",893602.4850669863,0.06484226384736647
"SOWE",917009.8344842698,0.06560185760457346
"SOWE-smoothed",916068.7637769555,0.06571741897544901
"CNN",955151.1996613375,0.06582688105166774
"CNN-smoothed",979343.738728208,0.0658741117229477
"RNN",2.0837575219944434e6,0.09536452027977915
"RNN-smoothed",2.045028940870233e6,0.09662407256631958
