"method","nonextrapolating_mse","extrapolating_mse"
"Direct",0.06369885057210922,NaN
"SOWE",0.07566486299037933,0.08002562820911407
"CNN",0.06424777954816818,0.07422033697366714
"RNN",0.13539788126945496,0.14458224177360535
