"method","perp","mse_to_distmean"
"Direct",2.753563202939139e6,0.06635611645652997
"Direct-smoothed",1.194494521492072e6,0.06636743143829865
"SOWE",1.2557197826221387e6,0.06794612557823515
"SOWE-smoothed",1.2652720569271764e6,0.0680232175890777
"CNN",1.3080937965131702e6,0.06863270223255383
"CNN-smoothed",1.3222704773117197e6,0.06882467782095193
"RNN",1.4895938718144323e6,0.07664675511142244
"RNN-smoothed",1.4693672333856223e6,0.07728473596794
