"method","mse"
"Distribution Mean Direct",0.0648013100782032
"Distribution Mean Operational Upper Bound",0.06484226384736647
"Distribution Mean SOWE-smoothed",0.06571741897544901
"Distribution Mean CNN-smoothed",0.0658741117229477
"Distribution Mean RNN-smoothed",0.09662407256631958
