"method","perp","mse_to_distmean"
"Direct",4.0885180011922754e6,0.0648013100782032
"Operational Upper Bound",893602.4850669863,0.06484226384736647
"SOWE-smoothed",916068.7637769555,0.06571741897544901
"CNN-smoothed",979343.738728208,0.0658741117229477
"RNN-smoothed",2.045028940870233e6,0.09662407256631958
