"method","perp","mse_to_distmean"
"Operational Upper Bound",1.194494521492072e6,0.06636743143829865
"SOWE",1.2557197826221387e6,0.06794612557823515
"CNN",1.3080937965131702e6,0.06863270223255383
"GRU",1.4895938718144323e6,0.07664675511142244
"LSTM",1.5437051450855192e6,0.07704195445324569
