"method","mse"
"Operational Upper Bound",0.06480130553245544
"SOWE",0.06605731695890427
"CNN",0.06559617072343826
"GRU",0.09559748321771622
"Distribution Mean Operational Upper Bound",0.0648013100782032
"Distribution Mean SOWE",0.06560185760457346
"Distribution Mean CNN",0.06582688105166774
"Distribution Mean GRU",0.09536452027977917
"LSTM",0.09613459557294846
"Distribution Mean LSTM",0.08765904141627993
